City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Cloudiness Numberical,Wind Speed,Country,Date
228,arauca,7.0847,-70.7591,91.36,52,moderate rain,40,3.44,CO,2025-03-06 15:19:01
229,qarqaraly,49.4058,75.4742,22.19,85,overcast clouds,100,18.52,KZ,2025-03-06 15:19:02
230,kargopol',61.5071,38.9456,32.04,99,light snow,100,3.09,RU,2025-03-06 15:19:04
231,lazaro cardenas,17.9583,-102.2,81.79,57,clear sky,0,10.16,MX,2025-03-06 15:19:05
232,nova vicosa,-17.8919,-39.3719,80.53,73,few clouds,21,9.13,BR,2025-03-06 15:19:06
233,hithadhoo,-0.6,73.0833,80.73,74,clear sky,10,3.04,MV,2025-03-06 15:19:07
234,keflavik,64.0049,-22.5624,36.03,60,clear sky,0,2.3,IS,2025-03-06 15:19:08
235,tegueste,28.5167,-16.3167,58.98,87,scattered clouds,40,5.99,ES,2025-03-06 15:19:09
236,pandan,14.0453,124.1694,77.43,91,scattered clouds,38,6.73,PH,2025-03-06 15:19:11
237,kudahuvadhoo,2.6708,72.8944,82.13,68,broken clouds,64,7.31,MV,2025-03-06 15:19:12
238,aberdeen,57.1437,-2.0981,52.29,79,few clouds,20,21.85,GB,2025-03-06 15:18:57
239,al ghayzah,16.2079,52.176,73.45,83,few clouds,24,3.83,YE,2025-03-06 15:19:14
240,kataba,8.4604,-0.7732,94.57,37,overcast clouds,99,7.52,GH,2025-03-06 15:19:15
241,jamestown,42.097,-79.2353,28.02,84,mist,100,23.02,US,2025-03-06 15:17:45
242,adrar,20.5022,-10.0711,70.66,42,overcast clouds,89,12.39,MR,2025-03-06 15:19:17
243,sanibel,26.449,-82.0223,68.02,57,clear sky,2,5.99,US,2025-03-06 15:17:20
244,kapa'a,22.0752,-159.319,75.52,91,light rain,75,12.66,US,2025-03-06 15:19:19
245,rhar el melah,37.1694,10.1906,57.78,89,overcast clouds,100,27.67,TN,2025-03-06 15:19:20
246,al majaridah,19.1236,41.9111,80.83,51,clear sky,3,1.5,SA,2025-03-06 15:19:22
247,enewetak,11.3474,162.3373,79.68,78,clear sky,8,23.02,MH,2025-03-06 15:19:23
248,papao,-17.75,-149.55,85.68,69,broken clouds,62,10.22,PF,2025-03-06 15:19:24
249,tolu viejo,9.4508,-75.4386,84.16,65,light rain,100,13.58,CO,2025-03-06 15:19:25
250,tual,-5.6667,132.75,82.56,79,heavy intensity rain,100,7.78,ID,2025-03-06 15:19:26
251,terbuny,52.1389,38.2789,42.53,77,broken clouds,57,17.25,RU,2025-03-06 15:19:27
252,aurec-sur-loire,45.3691,4.2049,47.62,78,scattered clouds,32,4.61,FR,2025-03-06 15:19:28
253,nadym,65.5333,72.5167,-1.53,99,broken clouds,67,9.95,RU,2025-03-06 15:19:29
254,beyla,8.6833,-8.6333,85.26,39,overcast clouds,100,4.18,GN,2025-03-06 15:19:30
255,vysokaya gora,55.9128,49.3017,18.57,96,overcast clouds,99,4.12,RU,2025-03-06 15:19:32
256,lunglei,22.8833,92.7333,56.03,60,clear sky,0,3.38,IN,2025-03-06 15:19:33
257,mar del plata,-38.0023,-57.5575,76.51,91,clear sky,0,11.5,AR,2025-03-06 15:19:34
258,manismata,-2.4667,111.0333,74.19,98,light rain,100,4.09,ID,2025-03-06 15:19:35
259,ugoofaaru,5.6667,73.0,81.05,75,clear sky,5,4.54,MV,2025-03-06 15:19:36
260,tofol,5.3248,163.0078,82.76,75,broken clouds,57,21.77,FM,2025-03-06 15:19:37
261,quibdo,5.6947,-76.6611,77.34,94,broken clouds,75,8.01,CO,2025-03-06 15:15:48
262,boca do acre,-8.7522,-67.3978,76.93,96,overcast clouds,100,2.57,BR,2025-03-06 15:19:39
263,mariehamn,60.0973,19.9348,46.26,81,clear sky,0,8.05,AX,2025-03-06 15:19:40
